Wet,Snow,Thunderstorm,Cloudy,Foggy,Sunny,Special
[Light/Heavy] Drizzle,[Light/Heavy] Snow,[Light/Heavy] Thunderstorm,Partly Cloudy,[Light/Heavy] Mist,Clear,[Light/Heavy] Hail
[Light/Heavy] Rain,[Light/Heavy] Snow Grains,[Light/Heavy] Thunderstorms and Rain,Mostly Cloudy,[Light/Heavy] Fog,,[Light/Heavy] Smoke
[Light/Heavy] Rain Mist,[Light/Heavy] Ice Crystals,[Light/Heavy] Thunderstorms and Snow,Scattered Clouds,[Light/Heavy] Fog Patches,,[Light/Heavy] Volcanic Ash
[Light/Heavy] Rain Showers,[Light/Heavy] Ice Pellets,[Light/Heavy] Thunderstorms and Ice Pellets,Overcast,[Light/Heavy] Freezing Fog,,[Light/Heavy] Widespread Dust
Unknown Precipitation,[Light/Heavy] Low Drifting Snow,[Light/Heavy] Thunderstorms with Hail,,Patches of Fog,,[Light/Heavy] Sand
,[Light/Heavy] Blowing Snow,[Light/Heavy] Thunderstorms with Small Hail,,Shallow Fog,,[Light/Heavy] Haze
,[Light/Heavy] Snow Showers,,,Partial Fog,,[Light/Heavy] Spray
,[Light/Heavy] Snow Blowing Snow Mist,,,,,[Light/Heavy] Dust Whirls
,[Light/Heavy] Ice Pellet Showers,,,,,[Light/Heavy] Sandstorm
,[Light/Heavy] Freezing Drizzle,,,,,[Light/Heavy] Low Drifting Widespread Dust
,[Light/Heavy] Freezing Rain,,,,,[Light/Heavy] Low Drifting Sand
,[Light/Heavy] Hail Showers,,,,,[Light/Heavy] Blowing Widespread Dust
,,,,,,[Light/Heavy] Blowing Sand
,,,,,,Unknown
,,,,,,[Light/Heavy] Small Hail Showers
,,,,,,Small Hail
,,,,,,Squalls
,,,,,,Funnel Cloud
